НомерАвто,МаркаАвто,Возмещено,Штрафы
Y163O8161RUS,Ford Focus,2,3200
E432XX77RUS,Toyota Camry,1,6500
7184TT36RUS,Ford Focus,1,2100
X582HE161RUS,Ford Focus,2,2000
E34877152RUS,Ford Focus,2,6100
92918M178RUS,Ford Focus,1,5700
E53488152RUS,Ford Focus,2,1800
X4128H125RUS,Ford Focus,1,500
C593EY154RUS,Ford Focus,1,1000
8049HT125RUS,Ford Focus,1,500
H234YH197RUS,Ford Focus,2,6000
E40577152RUS,Ford Focus,1,500
707987163RUS,Ford Focus,2,2200
K330T8197RUS,Skoda Octavia,2,8200
X786CO96RUS,Ford Focus,1,1000
C477M7161RUS,Ford Focus,1,2500
O21997197RUS,Ford Focus,1,2000
M592CH197RUS,Skoda Octavia,2,7000
9020YC197RUS,Skoda Octavia,2,145000
8182XX154RUS,Ford Focus,1,200
7830C8197RUS,Ford Focus,2,5100
9408H7178RUS,Skoda Octavia,1,1000
7066C8197RUS,Volkswagen Passat,2,15000
M298CH161RUS,Ford Focus,2,1500
M0299X197RUS,Ford Focus,2,19200
M268CH197RUS,Toyota Camry,2,800
E445TC197RUS,Ford Focus,1,3400
8440XX154RUS,Ford Focus,1,6200
9371CE154RUS,Skoda Octavia,2,500
9182CE154RUS,Ford Focus,2,19800
8601XX154RUS,Skoda Octavia,1,1300
X286TC36RUS,Ford Focus,1,500
83298C154RUS,Ford Focus,2,100
Y7659C197RUS,Ford Focus,2,1500
C922YE197RUS,Volkswagen Golf,2,3800
E34877152RUS,Ford Focus,2,6100
9935TE152RUS,Ford Focus,2,2500
7364C8197RUS,Ford Focus,2,9000
M375CH197RUS,Ford Focus,2,18100
M5039X197RUS,Volkswagen,2,7400
8603T8154RUS,Ford Focus,1,1500
83218C154RUS,Ford Focus,1,100
9499KX178RUS,Ford Focus,2,2300
92928M178RUS,Ford Focus,1,1200
H232YH197RUS,Ford Focus,1,8600
O672E8197RUS,Skoda Octavia,2,63300
E42277152RUS,Ford Focus,2,10600
X767HY197RUS,Ford Focus,2,18000
C903MC161RUS,Volkswagen Jetta,1,1600
T7318T163RUS,Toyota Camry,2,12000
Y7719C197RUS,Ford Focus,1,9200
T011MY163RUS,Ford Focus,1,2000
H115YO163RUS,Ford Focus,1,2200
C420X938RUS,Ford Focus,1,3300
934497178RUS,Skoda Octavia,2,1900
X765HY197RUS,Ford Focus,2,13900
73467Y96RUS,Ford Focus,1,800
T6488M116RUS,Ford Focus,2,21000
O134HE197RUS,Ford Focus,1,22800
H968HY161RUS,Ford Focus,1,2400
Y654E8750RUS,Skoda Octavia,1,500
H963HY161RUS,Ford Focus,2,2800
H232YH197RUS,Ford Focus,2,8600
7843C8197RUS,Ford Focus,2,12300
X791O796RUS,Ford Focus,1,500
Y359O8197RUS,Ford Focus,2,2000
H958HY161RUS,Ford Focus,1,1800
X761HY197RUS,Ford Focus,2,18300
708587163RUS,Ford Focus,2,1400
Y358O8197RUS,Ford Focus,2,21800
Y973O8197RUS,Ford Focus,2,34800
9677MO178RUS,Ford Mondeo,2,1100
97977H178RUS,Ford Focus,1,1000
7066C8197RUS,Volkswagen Passat,2,3000
H917TC36RUS,Ford Focus,2,4000
7361C8197RUS,Ford Focus,1,800
92928M178RUS,Ford Focus,2,1200
X786CO96RUS,Ford Focus,1,1000
Y357O8197RUS,Ford Focus,1,2200
Y7709C197RUS,Ford Focus,1,500
E42377152RUS,Ford Focus,1,3000
8513XX154RUS,Ford Focus,1,1500
T6418M116RUS,Ford Focus,2,24600
T870X7163RUS,Skoda Octavia,2,2000
8818C877RUS,Volkswagen Passat,1,2500
T395OT197RUS,Volkswagen Touareg,2,4800
K327T8197RUS,Volkswagen Golf,2,20800
8311XX154RUS,Ford Focus,2,8600
X423MK197RUS,Ford Focus,2,14300
96429X178RUS,Ford Focus,1,2600
O275O7161RUS,Ford Focus,2,16600
7789KT197RUS,Ford Focus,2,12600
7248C8197RUS,Ford Mondeo,1,8600
O83697197RUS,Ford Focus,2,6100
E28877161RUS,Ford Focus,1,1000
T6068M116RUS,Ford Focus,1,1000
9498KX178RUS,Ford Focus,2,1600
9499KX178RUS,Ford Focus,2,2300
99209X178RUS,Skoda Octavia,1,500
T6449O50RUS,Ford Focus,2,12500
9683EC178RUS,Ford Focus,2,26000
Y353O8197RUS,Ford Focus,2,21800
O719MM163RUS,Ford Focus,2,2300
7784KT197RUS,Ford Focus,2,6600
E535MM199RUS,Volkswagen Touareg,1,500
H967HY161RUS,Ford Focus,1,4500
Y352O8197RUS,Ford Focus,2,103600
7788KT197RUS,Ford Focus,2,12000
Y351O8197RUS,Ford Focus,2,1500
T479KX197RUS,Ford Focus,2,12000
92788M178RUS,Ford Focus,1,300
E807HE77RUS,Ford Focus,2,4500
7197TT36RUS,Ford Focus,1,6800
M516CH161RUS,Ford Focus,1,1000
89587X197RUS,Toyota Camry,1,4400
7781KT197RUS,Ford Focus,2,600
E645TH36RUS,Ford Focus,1,2400
89587X197RUS,Toyota Camry,2,4400
Y302E877RUS,Ford Focus,1,500
M058XE36RUS,Skoda Octavia,2,8500
7830C8197RUS,Ford Focus,1,5100
8166XX154RUS,Ford Focus,1,2400
M589CH197RUS,Volkswagen,2,7900
9408H7178RUS,Skoda Octavia,1,1000
H387TM197RUS,Volkswagen Passat,2,1600
8049HT125RUS,Ford Focus,1,500
X015HY197RUS,Toyota Corolla,2,16000
T769OT197RUS,Volkswagen Golf,2,30900
9698MO178RUS,Volkswagen Golf,2,18400
8685HE154RUS,Ford Focus,1,1000
