ID;Ликвидность активов;Рентабельность активов;Доходность активов;Автономность;Оборачиваемость активов;Банкрот
ID001;0.75;1.5;1.4375;2.065693431;1.31875;1
ID002;0.833446115;0.106316575;0.116402795;0.32445327;0.060397732;1
ID003;0.760238486;0.085688299;0.10504231;6.878209073;1.701247395;1
ID004;0.480456281;0.000381866;0.005336336;0.00702045;1.167511995;1
ID005;0;-0.089563889;-0.097891875;0.083240183;0.018812385;1
ID006;0.565830014;0.145037319;0.193202112;1.837670775;6.399434818;1
ID007;0.095298165;-0.463715596;-0.38978211;-0.351479994;0.023922018;1
ID008;0.63811475;0.050513996;0.063663778;2.927398406;3.592205419;1
ID009;0.999555927;-0.07587817;-0.07587817;-0.132877164;0.001471815;1
ID010;0.40207219;0.10459954;0.132100583;13.70925493;1.476726773;1
ID011;0.996430724;0;0;0.099122975;0;1
ID012;0.113264148;-0.17065514;-0.221719818;-0.007724267;0.560719479;1
ID013;0.588864847;-0.265841448;-0.265841448;-0.478962988;0.07683659;1
ID014;0.358156442;-0.007407721;-0.003613781;1.630711757;0;1
ID015;0.399857029;-0.031070169;-0.031070169;0.625864428;0.018459489;1
ID016;0.653751131;0.053472273;0.066840341;0.060599902;0.956744372;1
ID017;0.324644887;-0.017260764;-0.017260764;0.285659025;0.005194065;1
ID018;1;-0.007685772;-0.007659828;-0.024936126;0.004274197;1
ID019;0.972908536;-0.484973653;-0.484973653;20.71150676;2.081502179;1
ID020;0.202008253;-0.596753783;-0.680669418;0.145904482;0.929151765;1
ID021;0.663262949;0.001125405;0.006089069;0.291309925;0.366434875;1
ID022;0.989994643;0.044590805;0.04496896;0.105621657;0.649686446;1
ID023;0.382927969;-0.141694191;-0.141694191;-0.74841041;0.005504954;1
ID024;0.986811473;-0.04624257;-0.041621858;0.138314187;0.653257543;1
ID025;0.495967076;-0.227430706;-0.282569635;-0.286173826;1.706450318;1
ID026;0.682024968;-0.045599392;-0.05396697;1.442508711;1.145137366;1
ID027;1;-7.669582906;-7.669705266;-0.950673979;0.085942399;1
