product_id,ts_create,ts_update,bank_id,status,address_id,company_id,agent_id,email_agent_id,phone_agent_id,direction_id,partner_company_id,online_id,channel_id,source_id,system_id
0,145815486.0,146500854.0,974,9,1726,7959,128,183,62,8,50,9936,9727,0,4
0,145815486.0,146504094.0,799,4,1004,11141,135,140,104,8,49,9935,9700,0,4
4,145815486.0,145821840.0,776,0,0,40990,171,168,42,12,57,9934,42,1,2
0,145815492.0,146238726.0,85,8,2078,26422,128,183,62,8,50,9933,9730,0,4
0,145815492.0,146506116.0,731,9,2096,5456,135,140,104,8,49,9932,9731,0,4
5,145815492.0,146504094.0,799,4,1004,11215,165,46,56,14,33,9931,9732,0,4
5,145815492.0,146239386.0,287,4,3265,27786,165,46,56,14,33,9930,9733,0,4
0,145815498.0,146236566.0,779,9,206,24725,135,140,104,8,49,9929,9734,0,4
5,145815498.0,146501988.0,144,4,1961,12944,39,127,32,14,76,9928,9735,0,4
0,145815498.0,145976400.0,987,9,3047,8139,128,183,62,8,50,9927,9736,0,4
0,145815498.0,145191030.0,729,5,3575,6197,135,140,104,8,49,9926,9737,0,4
4,145815504.0,145821840.0,772,0,0,40615,36,112,41,12,8,9925,72,3,2
0,145815504.0,146237400.0,898,9,357,37655,128,183,62,8,50,9924,9738,0,4
5,145815504.0,146503206.0,1075,9,835,36858,165,46,56,14,33,9923,9739,0,4
0,145815504.0,145188012.0,958,5,2718,13745,128,183,62,8,50,9922,9740,0,4
5,145815504.0,145927668.0,5,9,649,10326,39,127,32,14,76,9921,9741,0,4
0,145815504.0,146237520.0,803,9,383,11208,135,140,104,8,49,9920,9742,0,4
5,145815504.0,146239296.0,269,9,3290,28326,165,46,56,14,33,9919,9743,0,4
0,145815504.0,146236566.0,779,9,206,24729,135,140,104,8,49,9918,9744,0,4
0,145815504.0,146504838.0,465,9,3418,6359,135,140,104,8,49,9917,9745,0,4
5,145815510.0,145191972.0,551,9,2793,7088,39,127,32,14,76,9916,9746,0,4
5,145815510.0,146505996.0,655,9,648,23521,165,46,56,14,33,9915,9747,0,4
0,145815510.0,145980330.0,760,9,708,6672,135,140,104,8,49,9914,9748,0,4
0,145815516.0,145870776.0,974,9,2431,8256,128,183,62,8,50,9913,9749,0,4
5,145815516.0,145895922.0,296,7,1797,13489,165,46,56,14,33,9912,9750,0,4
4,145815516.0,145822554.0,117,0,0,39500,36,112,41,12,8,9911,72,3,2
0,145815516.0,146236566.0,779,9,206,24731,135,140,104,8,49,9910,9751,0,4
0,145815516.0,145977318.0,809,1,475,10918,135,140,104,8,49,9909,9752,0,4
0,145815522.0,145976640.0,730,5,2340,6212,135,140,104,8,49,9908,9753,0,4
0,145815522.0,145936932.0,891,9,994,36769,128,183,62,8,50,9907,9754,0,4
5,145815522.0,145895634.0,242,9,3777,39013,39,127,32,14,76,9906,9729,0,4
0,145815522.0,145872312.0,960,5,3809,13659,128,183,62,8,50,9905,9755,0,4
5,145815528.0,145976640.0,728,5,2340,6244,165,46,56,14,33,9904,9728,0,4
0,145815528.0,145193958.0,730,4,2550,5923,135,140,104,8,49,9903,9726,0,4
5,145815528.0,146504868.0,453,5,2868,19203,39,127,32,14,76,9902,9701,0,4
0,145815528.0,146504640.0,783,9,3246,24748,135,140,104,8,49,9901,9702,0,4
4,145815528.0,146504718.0,791,9,3784,46578,171,168,42,12,57,9900,56,1,2
0,145815528.0,145977036.0,1006,4,2754,15741,128,183,62,8,50,9899,9703,0,4
5,145815528.0,145979646.0,244,9,1968,39126,39,127,32,14,76,9898,9704,0,4
5,145815528.0,145977936.0,39,1,1698,12065,165,46,56,14,33,9979,9705,0,4
0,145815534.0,146504964.0,809,9,1809,10960,135,140,104,8,49,9978,9706,0,4
0,145815534.0,145979328.0,728,5,3012,5689,135,140,104,8,49,9977,9707,0,4
4,145815534.0,145822554.0,76,0,0,45944,171,168,42,12,57,9976,56,1,2
0,145815540.0,145851996.0,897,5,305,36875,128,183,62,8,50,9975,9708,0,4
0,145815540.0,145976388.0,987,4,2613,7995,128,183,62,8,50,9974,9709,0,4
5,145815540.0,146505174.0,213,9,3742,31731,165,46,56,14,33,9973,9710,0,4
5,145815540.0,145895952.0,292,7,1797,13604,165,46,56,14,33,9972,9711,0,4
0,145815540.0,146504646.0,783,4,3246,24755,135,140,104,8,49,9971,9712,0,4
0,145815540.0,146506320.0,659,4,3690,23555,135,140,104,8,49,9970,9713,0,4
5,145815540.0,145945410.0,517,7,1895,28203,39,127,32,14,76,9969,9714,0,4
0,145815546.0,146504880.0,1017,9,1781,9266,128,183,62,8,50,9968,9715,0,4
5,145815546.0,145937286.0,212,9,1137,34531,39,127,32,14,76,9967,9716,0,4
0,145815546.0,145946238.0,730,5,2441,5782,135,140,104,8,49,9966,9717,0,4
5,145815546.0,146504946.0,802,4,1809,11106,165,46,56,14,33,9965,9718,0,4
1,145815546.0,145945842.0,902,3,677,29167,135,140,104,8,49,9964,9719,0,4
0,145815552.0,146502672.0,1017,4,2497,8953,128,183,62,8,50,9963,9720,0,4
