"date","close","volume","open","high","low"
"16:00","42.64","18,024,099","43.12","43.12","42.42"
"2015/03/27","42.6400","18028230.0000","42.9300","43.1200","42.4200"
"2015/03/26","42.9900","14064720.0000","42.7800","43.2300","42.4600"
"2015/03/25","42.9300","17490790.0000","43.6800","43.7500","42.9300"
"2015/03/24","43.7100","14893720.0000","44.3300","44.5000","43.7100"
"2015/03/23","44.2500","10746830.0000","44.3400","44.6200","44.1600"
"2015/03/20","44.4100","20716280.0000","44.1300","44.7300","44.0600"
"2015/03/19","44.1600","15710470.0000","44.0000","44.4900","44.0000"
"2015/03/18","44.1300","37895510.0000","44.3000","44.9350","43.3500"
"2015/03/17","42.8700","21350950.0000","43.1100","43.3400","42.8600"
"2015/03/16","43.4100","17414140.0000","42.8200","43.5300","42.7400"
"2015/03/13","42.3800","18402500.0000","41.5400","42.4700","41.5100"
"2015/03/12","41.6200","13716530.0000","41.4600","41.7600","41.2600"
"2015/03/11","41.4700","11071500.0000","41.9300","42.1600","41.4100"
"2015/03/10","41.8200","13960500.0000","42.2400","42.5500","41.7750"
"2015/03/09","42.6900","11474170.0000","42.2500","42.7900","42.1901"
"2015/03/06","42.3800","15085280.0000","43.6100","43.6100","42.3000"
"2015/03/05","43.8000","10983550.0000","43.6600","43.8900","43.2550"
"2015/03/04","43.6100","14697650.0000","43.2000","43.6600","42.8200"
"2015/03/03","43.3800","10058740.0000","43.8300","43.8800","43.1700"
"2015/03/02","44.0300","11090940.0000","43.8100","44.0400","43.4800"
"2015/02/27","43.8200","9549531.0000","43.7700","44.1100","43.6800"
"2015/02/26","43.8900","8519163.0000","43.8000","44.1500","43.7100"
"2015/02/25","43.7300","11785040.0000","43.8300","44.0900","43.3800"
"2015/02/24","43.8800","10516410.0000","43.7900","43.9600","43.3800"
"2015/02/23","43.7800","10995460.0000","43.4600","43.8800","43.3032"
"2015/02/20","43.7700","14731160.0000","44.0600","44.0900","43.4600"
"2015/02/19","44.1100","8465711.0000","44.1300","44.3700","44.0000"
"2015/02/18","44.1000","8661050.0000","43.7100","44.1100","43.6500"
"2015/02/17","43.8400","10119010.0000","43.6700","43.9000","43.5400"
"2015/02/13","43.9300","10155870.0000","43.8000","44.2300","43.8000"
"2015/02/12","43.8900","12519430.0000","43.4800","44.0600","43.4100"
"2015/02/11","43.3600","12836940.0000","43.9600","44.0000","43.0850"
"2015/02/10","43.9900","12714740.0000","43.7900","44.0600","43.5600"
"2015/02/09","43.4000","12705940.0000","42.6300","43.6300","42.6300"
"2015/02/06","42.9800","9521936.0000","43.2600","43.4700","42.8800"
"2015/02/05","43.1600","9630270.0000","42.5000","43.2400","42.5000"
"2015/02/04","42.4200","12904310.0000","42.9700","43.1600","42.3200"
"2015/02/03","43.0400","12657080.0000","42.9400","43.1400","42.5350"
"2015/02/02","42.6800","16889510.0000","42.2100","42.7100","41.5600"
"2015/01/30","41.8900","22590040.0000","42.0900","42.5200","41.8200"
"2015/01/29","42.8600","12805030.0000","42.8200","43.0200","42.3200"
"2015/01/28","42.6900","15132430.0000","43.9400","43.9800","42.6700"
"2015/01/27","43.4000","14984430.0000","43.0100","43.8700","42.5800"
"2015/01/26","43.9000","12059500.0000","44.1700","44.2100","43.5400"
"2015/01/23","44.1900","14149260.0000","43.9800","44.5400","43.9200"
